filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,from_CSD,public,State,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,
1499489-acs.cgd.6b01265_1499490_freeONLY,10.85017,3.77263,10.26663,0.884188,1701.53,1924.4,0,0,0.6458,0.730388,0,Cu,No,,freeONLY,N,Y,DISORDER,Y,"	01/10/2016",10.1021/acs.cgd.6b01265,"1 SI, 1 Structure",UYICIQ,,,,,,,,,,,,,,
ACODUT_freeONLY,5.4607,3.36863,5.4607,1.51914,446.079,293.64,0,0,0.4404,0.289902,0,Yb,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
acs.cgd.5b01554_VAGNUP1452791_freeONLY,4.77823,1.35265,2.15665,1.93666,0,0,125.778,64.9455,0.3514,0.181446,0,"Cu,Si,Cs",Yes,"Cu,Cs",freeONLY,N,Y,DISORDER,Y,10/02/2016,10.1021/acs.cgd.5b01554,"1 SI, 1 Structure",VAGNUP,,,,,,,,,,,,,,
acs.cgd.5b01632_ZAHKOL1438120_freeONLY,4.49227,3.65318,4.48182,1.64661,824.012,500.429,0,0,0.4904,0.297824,0,Cu,No,,freeONLY,N,Y,DISORDER,Y,20/11/2015,10.1021/acs.cgd.5b01632,"1 SI, 1 Structure",ZAHKOL,,,,,,,,,,,,,,
acs.cgd.6b00163_UKEBOD1448508_freeONLY,4.86973,2.55151,4.17307,1.61619,0,0,294.165,182.012,0.396,0.245021,0,Cd,No,,freeONLY,N,Y,DISORDER,Y,20/01/2016,10.1021/acs.cgd.6b00163,"1 SI, 1 Structure",UKEBOD,,,,,,,,,,,,,,
acs.chemmater.5b03723_cm5b03723_si_004_freeONLY,12.83204,7.11329,12.83204,0.805526,1930.08,2396.05,10.8351,13.451,0.6786,0.842431,0,Cu,No,,freeONLY,N,Y,DISORDER,Y,28/07/2015,10.1021/acs.chemmater.5b03723,"1 SI, 1 Structure",TAKKEY,,,,,,,,,,,,,,
acs.chemmater.5b03723_cm5b03723_si_005_freeONLY,12.72268,7.3388,12.7194,0.677788,2143.35,3162.27,0,0,0.726,1.07113,0,Cu,No,,freeONLY,N,Y,DISORDER,Y,28/07/2015,10.1021/acs.chemmater.5b03723,"1 SI, 1 Structure",TAKKIC,,,,,,,,,,,,,,
acscombsci.5b00188_34903_freeONLY,6.15808,5.85025,6.15808,2.16583,1748.44,807.285,0,0,0.542,0.25025,0,Cu,No,,freeONLY,N,Y,DISORDER,N,,,,,,,,,,,,,,,,,,
acscombsci.5b00188_5013797_freeONLY,9.69678,6.71185,9.61668,0.664961,2272.9,3418.09,0,0,0.7302,1.09811,0,Zn,No,,freeONLY,N,Y,DISORDER,N,,,,,,,,,,,,,,,,,,
acs.inorgchem.5b02316_ic5b02316_si_002_freeONLY,10.12066,3.72902,10.12066,1.39636,1686.45,1207.75,0,0,0.6312,0.452033,0,Cu,No,,freeONLY,N,Y,DISORDER,Y,"	21/09/2015",10.1021/acs.inorgchem.5b02316,"1 SI, 5 Structure",ZADRII,ZADQUT,ZADRAA,ZADREE,ZADRII,ZADROO,,,,,,,,,
acs.inorgchem.5b02378_ic5b02378_si_002_freeONLY,3.84352,3.57212,3.8244,2.34418,318.947,136.059,0,0,0.356,0.151866,0,"Dy,Ni",No,,freeONLY,N,Y,DISORDER,Y,15/01/2015,10.1021/acs.inorgchem.5b02378,"1 SI, 1 Structure",TAKMOK,,,,,,,,,,,,,,
acs.inorgchem.6b00136_ic6b00136_si_002_freeONLY,6.38282,6.02136,6.38282,1.29125,740.401,573.401,284.578,220.39,0.5176,0.400853,0,Zn,Yes,Zn,freeONLY,N,Y,DISORDER,Y,06/12/2015,10.1021/acs.inorgchem.6b00136,"1 SI, 4 Structure",EKEXUP,EKEXUP,EKEYAW,EKEKIQ,EKEKOW,,,,,,,,,,
acs.inorgchem.6b00276_ic6b00276_si_006_freeONLY,14.12459,8.71298,13.42568,0.764229,1975.68,2585.2,14.6531,19.1737,0.7196,0.941602,0,"Co,Zn",No,,freeONLY,N,Y,DISORDER,Y,02/02/2016,10.1021/acs.inorgchem.6b00276,"1 SI, 1 Structure",BENNEQ,,,,,,,,,,,,,,
acs.inorgchem.6b00433_ic6b00433_si_002_freeONLY,3.85664,1.52732,3.80993,1.39305,0,0,57.7361,41.4459,0.3886,0.278957,0,Cu,No,,freeONLY,N,Y,DISORDER,Y,12/10/2015,10.1021/acs.inorgchem.6b00433,"1 SI, 1 Structure",ILAXIE,,,,,,,,,,,,,,
acs.inorgchem.6b01211_ic6b01211_si_002_freeONLY,9.39974,4.52903,9.39954,0.864372,2393.79,2769.4,0,0,0.6746,0.780451,0,Cu,No,,freeONLY,N,Y,DISORDER,Y,16/05/2016,10.1021/acs.inorgchem.6b01211,"1 SI, 1 Structure",OTIHOQ,,,,,,,,,,,,,,
acs.inorgchem.6b01416_ic6b01416_si_004_freeONLY,6.69143,3.5273,6.69143,1.34288,1327.26,988.368,0,0,0.5278,0.393035,0,Cd,Yes,Cd,freeONLY,N,Y,DISORDER,Y,27/05/2016,10.1021/acs.inorgchem.6b01416,"1 SI, 1 Structure",EXAHOC,,,,,,,,,,,,,,
acs.inorgchem.6b01762_ic6b01762_si_002_freeONLY,9.86179,8.26548,9.86179,2.47577,1281.64,517.672,0,0,0.571,0.230636,8.08E-05,Th,Yes,Th,freeONLY,N,Y,DISORDER,N,,,,,,,,,,,,,,,,,,
acs.jpcc.6b04690_jp6b04690_si_005_freeONLY,7.34724,4.81711,7.33146,1.24071,916.497,738.69,73.5263,59.2617,0.5146,0.414764,0,Zn,No,,freeONLY,N,Y,DISORDER,N,,,,,,,,,,,,,,,,,,
ADOBIF_freeONLY,5.54781,3.82743,5.50516,1.73843,473.106,272.146,120.36,69.2353,0.4474,0.257359,0,"Co,V",No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AFEKAX_freeONLY,8.19182,6.99421,8.19182,0.987281,1565.63,1585.8,78.0532,79.0587,0.641,0.649258,0,Cu,Yes,Cu,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AFOYIE_freeONLY,7.75981,7.14765,7.74426,1.1599,1658.88,1430.19,0,0,0.595,0.512976,0,Cu,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AGUBUA_freeONLY,5.46218,4.59563,5.46034,1.83317,1345.91,734.196,0,0,0.576,0.31421,0,Zn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AHIYOH_freeONLY,5.55847,4.74922,5.55001,1.42546,843.163,591.503,0,0,0.4554,0.319476,0,Co,Yes,Co,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AHIYUN_freeONLY,5.15091,3.13788,5.03528,1.898,0,0,616.793,324.969,0.3872,0.204004,0,Co,Yes,Co,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AHOKIR_freeONLY,4.43495,3.47861,4.43419,2.24368,542.228,241.669,0,0,0.3798,0.169276,0,Cu,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AHOZAA_freeONLY,5.54353,3.15137,5.54353,1.7218,0,0,505.278,293.459,0.4114,0.238936,0,Cd,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AHUFIU_freeONLY,8.82374,6.2087,8.82374,0.961965,2042.39,2123.15,0,0,0.6792,0.706055,0,"Mo,Ag",Yes,Ag,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AKIXEZ_freeONLY,8.98673,4.2209,8.98673,1.42089,1854.28,1305.01,0,0,0.5958,0.419315,0,Cu,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
am301365h_si_002_freeONLY,11.48971,3.48899,11.44606,0.907012,1496.99,1650.46,0,0,0.6506,0.7173,0,Zn,No,,freeONLY,N,Y,DISORDER,Y,14/02/2013,10.1021/am301365h,"1 SI, 1 Structure",LENVOR,,,,,,,,,,,,,,
AMIZIG_freeONLY,6.42766,5.80877,6.40116,1.47711,573.926,388.546,0,0,0.3924,0.265654,0,"Zn,Na",Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AMUFIZ_freeONLY,3.98894,3.09876,3.98894,1.71657,0,0,221.409,128.983,0.3506,0.204244,0,Co,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
APEBII_freeONLY,10.32114,3.31387,10.3209,1.29652,0,0,1289.3,994.433,0.5836,0.450127,0,Cu,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AQEFOS_freeONLY,8.68225,2.76851,8.68071,2.05231,0,0,778.624,379.389,0.4796,0.233688,0,"Cu,Mo",Yes,Cu,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AQEGUY_freeONLY,5.54395,3.86309,5.18229,1.62444,361.035,222.252,275.874,169.827,0.4342,0.267292,0,Ba,Yes,Ba,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AQERUL_freeONLY,5.19905,3.7128,5.19898,1.6479,850.334,516.012,0,0,0.4402,0.267129,0,Co,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AQIXUU_freeONLY,5.00071,3.74213,5.00071,2.31618,778.297,336.026,0,0,0.406,0.175289,0,Co,Yes,Co,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
AQOLEZ_freeONLY,14.57017,3.32137,14.57017,1.04586,905.791,866.076,448.771,429.094,0.6056,0.579048,0,Co,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
